Incident_ID,Response_Time_Hours,Resolution_Time_Hours,Team_Name
INC0058,2.31,10.14,Security Team A
INC0059,10.13,104.12,Security Team B
INC0060,8.75,68.06,Security Team B
INC0061,9.47,101.96,Security Team B
INC0062,14.89,72.76,Security Team C
INC0063,4.11,12.42,Security Team C
INC0064,23.88,45.79,Security Team A
INC0065,23.6,12.67,Security Team B
INC0066,9.9,111.48,Security Team A
INC0067,16.92,106.2,Security Team B
INC0068,5.52,113.13,Security Team A
INC0069,3.66,62.01,Security Team B
INC0070,7.96,90.25,Security Team B
INC0071,9.06,113.44,Security Team C
INC0072,23.63,62.6,Security Team A
INC0073,22.58,110.01,Security Team A
INC0074,3.61,23.49,Security Team C
INC0075,21.97,13.34,Security Team B
INC0076,5.21,14.77,Security Team C
INC0077,21.06,18.2,Security Team B
INC0078,1.69,7.36,Security Team A
INC0079,17.45,115.68,Security Team B
INC0080,6.06,88.45,Security Team B
INC0081,21.88,64.09,Security Team C
INC0082,17.59,54.21,Security Team B
INC0083,13.73,59.65,Security Team A
INC0084,20.74,97.63,Security Team B
INC0085,7.11,73.31,Security Team B
INC0086,2.74,106.27,Security Team B
INC0087,5.74,112.07,Security Team B
INC0088,11.44,13.54,Security Team A
INC0089,20.65,22.61,Security Team B
INC0090,10.05,69.41,Security Team A
INC0091,23.3,32.3,Security Team C
INC0092,19.92,81.85,Security Team B
INC0093,20.88,107.35,Security Team B
INC0094,16.16,23.86,Security Team C
INC0095,4.61,87.68,Security Team B
INC0096,17.31,28.04,Security Team C
INC0097,14.34,26.15,Security Team C
INC0098,4.72,32.71,Security Team A
INC0099,21.99,41.26,Security Team B
INC0100,12.95,119.6,Security Team B
INC0101,15.1,6.65,Security Team A
INC0102,16.72,74.01,Security Team B
INC0103,15.39,3.93,Security Team A
INC0104,13.02,114.34,Security Team A
INC0105,18.18,65.11,Security Team C
INC0106,23.58,63.09,Security Team A
INC0107,1.47,53.58,Security Team A
INC0108,8.82,52.54,Security Team C
INC0109,12.97,52.7,Security Team A
INC0110,9.73,116.47,Security Team A
INC0111,6.9,38.39,Security Team B
INC0112,20.33,11.47,Security Team C
INC0113,4.18,74.84,Security Team B
INC0114,6.68,39.41,Security Team B
INC0115,15.55,47.68,Security Team B
INC0116,18.13,99.36,Security Team B
INC0117,21.63,66.61,Security Team A
INC0118,16.43,83.87,Security Team B
INC0119,21.31,96.27,Security Team B
INC0120,9.15,118.19,Security Team A
INC0121,9.62,32.45,Security Team B
INC0122,10.53,59.94,Security Team C
INC0123,22.47,69.05,Security Team B
INC0124,5.51,43.84,Security Team C
INC0125,8.94,98.1,Security Team B
INC0126,18.88,35.4,Security Team C
INC0127,1.14,94.38,Security Team B
INC0128,16.49,32.53,Security Team C
INC0129,20.66,81.79,Security Team B
INC0130,22.13,25.66,Security Team C
INC0131,18.55,16.4,Security Team A
INC0132,7.3,11.42,Security Team A
INC0133,3.02,98.81,Security Team B
INC0134,17.57,101.53,Security Team A
INC0135,20.5,30.34,Security Team A
INC0136,15.02,35.51,Security Team C
INC0137,9.14,105.37,Security Team A
INC0138,17.91,45.1,Security Team C
INC0139,0.71,88.39,Security Team C
INC0140,10.21,52.12,Security Team A
INC0141,7.87,49.41,Security Team C
INC0142,2.57,43.34,Security Team B
INC0143,22.45,42.88,Security Team B
INC0144,19.2,117.76,Security Team C
INC0145,14.47,3.39,Security Team B
INC0146,10.91,47.6,Security Team C
INC0147,5.51,72.36,Security Team A
INC0148,14.79,97.61,Security Team A
INC0149,21.83,97.78,Security Team C
INC0150,0.81,66.36,Security Team A
INC0151,6.0,93.73,Security Team C
INC0152,15.63,54.81,Security Team A
INC0153,7.08,77.01,Security Team C
INC0154,19.39,89.52,Security Team B
INC0155,14.37,43.4,Security Team A
INC0156,15.48,115.2,Security Team C
INC0157,21.99,107.15,Security Team B
INC0158,20.47,99.69,Security Team A
INC0159,5.64,69.12,Security Team A
INC0160,21.33,46.67,Security Team B
INC0161,1.51,37.09,Security Team A
INC0162,18.99,65.26,Security Team B
INC0163,12.49,86.35,Security Team A
INC0164,15.23,29.45,Security Team C
INC0165,8.29,65.73,Security Team A
INC0166,8.61,104.16,Security Team B
INC0167,16.88,58.94,Security Team A
INC0168,3.03,67.43,Security Team C
INC0169,6.76,19.97,Security Team B
INC0170,17.23,52.34,Security Team B
INC0171,4.65,87.04,Security Team B
INC0172,12.69,25.16,Security Team C
INC0173,10.1,37.95,Security Team C
INC0174,16.89,64.14,Security Team B
INC0175,20.63,90.97,Security Team A
INC0176,3.42,88.3,Security Team C
INC0177,10.79,55.78,Security Team A
INC0178,11.54,63.75,Security Team C
INC0179,20.65,39.52,Security Team C
INC0180,13.53,70.25,Security Team C
INC0181,2.65,80.13,Security Team C
INC0182,11.2,10.0,Security Team A
INC0183,4.67,6.4,Security Team A
INC0184,16.33,106.97,Security Team B
INC0185,2.55,3.65,Security Team B
INC0186,20.1,95.26,Security Team A
INC0187,15.82,28.98,Security Team C
INC0188,7.76,34.19,Security Team A
INC0189,6.79,43.42,Security Team A
INC0190,5.83,21.68,Security Team C
INC0191,8.08,109.6,Security Team C
INC0192,14.95,72.65,Security Team A
INC0193,13.98,18.57,Security Team C
INC0194,9.05,35.63,Security Team B
INC0195,1.06,54.75,Security Team B
INC0196,12.13,59.22,Security Team A
INC0197,7.09,106.1,Security Team A
INC0198,23.78,18.81,Security Team A
INC0199,13.64,76.15,Security Team C
INC0200,17.19,73.09,Security Team B
INC0201,9.44,14.16,Security Team A
INC0202,19.11,27.79,Security Team B
INC0203,15.46,73.65,Security Team B
INC0204,0.8,39.49,Security Team B
INC0205,5.47,78.36,Security Team A
INC0206,5.67,93.17,Security Team C
INC0207,4.25,61.68,Security Team B
INC0208,5.03,32.64,Security Team A
INC0209,14.21,47.39,Security Team C
INC0210,2.65,5.7,Security Team A
INC0211,16.31,118.46,Security Team B
INC0212,1.62,78.67,Security Team C
INC0213,11.84,73.37,Security Team B
INC0214,11.62,84.04,Security Team B
INC0215,11.67,41.77,Security Team B
INC0216,4.32,52.95,Security Team B
INC0217,5.56,33.22,Security Team B
INC0218,18.29,52.88,Security Team C
INC0219,1.48,65.44,Security Team C
INC0220,12.8,52.68,Security Team B
INC0221,9.59,51.9,Security Team C
INC0222,6.48,20.21,Security Team B
INC0223,9.15,87.63,Security Team B
INC0224,17.83,46.67,Security Team A
INC0225,14.02,18.26,Security Team B
INC0226,3.1,9.29,Security Team B
INC0227,3.27,14.21,Security Team C
INC0228,8.88,66.67,Security Team B
INC0229,15.45,19.61,Security Team B
INC0230,1.98,9.87,Security Team C
INC0231,7.71,17.32,Security Team A
INC0232,2.39,30.24,Security Team B
INC0233,8.39,4.66,Security Team B
INC0234,9.99,20.82,Security Team B
INC0235,2.7,109.27,Security Team A
INC0236,23.91,65.69,Security Team A
INC0237,21.18,13.5,Security Team C
INC0238,5.46,79.4,Security Team A
INC0239,2.66,92.86,Security Team B
INC0240,4.43,77.95,Security Team C
INC0241,9.2,53.91,Security Team A
INC0242,16.42,28.6,Security Team A
INC0243,5.83,51.38,Security Team C
INC0244,15.48,76.46,Security Team C
INC0245,5.01,110.72,Security Team A
INC0246,11.57,11.25,Security Team A
INC0247,13.35,98.47,Security Team A
INC0248,17.93,110.02,Security Team A
INC0249,22.49,99.46,Security Team A
INC0250,16.37,9.22,Security Team C
INC0251,21.78,85.88,Security Team C
INC0252,13.75,23.9,Security Team C
INC0253,6.88,94.75,Security Team A
INC0254,12.85,70.2,Security Team A
INC0255,22.07,102.27,Security Team B
INC0256,21.67,28.38,Security Team C
INC0257,8.31,19.87,Security Team A
INC0258,4.74,80.14,Security Team B
INC0259,16.77,2.2,Security Team B
INC0260,0.7,77.71,Security Team C
INC0261,7.69,104.1,Security Team C
INC0262,20.39,60.84,Security Team A
INC0263,4.63,83.41,Security Team A
INC0264,14.93,4.55,Security Team C
INC0265,17.76,14.16,Security Team A
INC0266,13.35,28.31,Security Team C
INC0267,15.28,72.24,Security Team C
INC0268,8.52,61.87,Security Team B
INC0269,7.65,35.18,Security Team C
INC0270,19.62,119.25,Security Team C
INC0271,4.94,45.32,Security Team B
INC0272,4.43,39.44,Security Team A
INC0273,7.0,87.35,Security Team C
INC0274,9.51,93.87,Security Team A
INC0275,13.0,86.6,Security Team C
INC0276,19.54,61.99,Security Team A
INC0277,2.11,116.05,Security Team C
INC0278,21.13,5.75,Security Team B
INC0279,10.99,87.9,Security Team B
INC0280,12.46,31.42,Security Team A
INC0281,5.61,107.97,Security Team B
INC0282,2.24,73.12,Security Team B
INC0283,22.11,103.9,Security Team A
INC0284,13.11,9.18,Security Team A
INC0285,7.92,17.87,Security Team B
INC0286,1.76,40.96,Security Team B
INC0287,19.88,91.32,Security Team A
INC0288,7.82,102.35,Security Team C
INC0289,7.04,39.36,Security Team A
INC0290,13.53,72.76,Security Team B
INC0291,23.68,89.52,Security Team C
INC0292,12.33,79.44,Security Team C
INC0293,10.92,112.74,Security Team C
INC0294,13.19,51.39,Security Team C
INC0295,8.88,114.25,Security Team B
INC0296,22.25,101.1,Security Team A
INC0297,1.56,119.3,Security Team C
INC0298,4.42,16.36,Security Team B
INC0299,11.76,98.2,Security Team B
INC0300,1.95,28.24,Security Team C
INC0301,18.47,69.75,Security Team C
INC0302,8.82,33.41,Security Team C
INC0303,23.72,35.51,Security Team C
INC0304,5.14,97.93,Security Team A
INC0305,18.33,94.98,Security Team A
INC0306,4.38,103.89,Security Team A
INC0307,10.05,60.75,Security Team A
INC0308,11.69,75.9,Security Team C
INC0309,14.7,93.26,Security Team C
INC0310,23.25,33.83,Security Team C
INC0311,8.3,29.39,Security Team B
INC0312,6.73,107.97,Security Team A
INC0313,10.84,29.93,Security Team B
INC0314,15.99,92.92,Security Team B
INC0315,8.8,41.22,Security Team A
INC0316,18.69,50.69,Security Team A
INC0317,20.43,24.91,Security Team A
INC0318,19.83,8.97,Security Team A
INC0319,11.41,40.18,Security Team A
INC0320,5.34,56.95,Security Team A
INC0321,7.76,101.01,Security Team C
INC0322,10.9,51.14,Security Team A
INC0323,12.23,112.46,Security Team B
INC0324,8.7,103.46,Security Team B
INC0325,11.14,35.75,Security Team B
INC0326,0.52,8.92,Security Team B
INC0327,21.98,65.28,Security Team C
INC0328,20.2,97.78,Security Team C
INC0329,18.69,11.54,Security Team C
INC0330,13.57,46.47,Security Team A
INC0331,7.14,85.62,Security Team C
INC0332,13.66,23.72,Security Team C
INC0333,14.63,83.72,Security Team B
INC0334,9.48,12.48,Security Team C
INC0335,15.8,4.38,Security Team A
INC0336,19.59,85.89,Security Team B
INC0337,1.24,104.73,Security Team C
INC0338,19.4,99.68,Security Team B
INC0339,23.65,14.66,Security Team A
INC0340,20.2,84.44,Security Team A
INC0341,14.55,100.04,Security Team B
INC0342,17.5,114.28,Security Team A
INC0343,8.17,38.8,Security Team A
INC0344,21.16,31.23,Security Team C
INC0345,15.37,33.79,Security Team A
INC0346,8.4,61.26,Security Team C
INC0347,19.86,80.58,Security Team B
INC0348,12.8,75.84,Security Team C
INC0349,19.27,117.37,Security Team B
INC0350,15.04,10.44,Security Team B
INC0351,20.98,71.44,Security Team C
INC0352,22.28,35.8,Security Team B
INC0353,8.64,92.85,Security Team C
INC0354,4.93,98.32,Security Team B
INC0355,9.72,13.0,Security Team C
INC0356,15.07,53.03,Security Team B
INC0357,18.16,34.22,Security Team B
INC0358,4.64,74.66,Security Team A
INC0359,22.89,80.11,Security Team B
INC0360,7.37,4.52,Security Team B
INC0361,15.99,79.26,Security Team A
INC0362,11.41,58.0,Security Team B
INC0363,4.52,109.2,Security Team A
INC0364,22.03,70.53,Security Team A
INC0365,11.59,105.39,Security Team B
INC0366,0.56,64.66,Security Team B
INC0367,20.42,9.35,Security Team C
INC0368,22.69,84.31,Security Team C
INC0369,12.38,102.58,Security Team C
INC0370,18.69,114.35,Security Team C
INC0371,6.4,105.12,Security Team C
INC0372,7.18,24.5,Security Team B
INC0373,13.13,16.75,Security Team C
INC0374,9.54,10.68,Security Team A
INC0375,8.19,3.91,Security Team B
INC0376,5.85,98.74,Security Team B
INC0377,13.4,50.8,Security Team B
INC0378,23.11,69.93,Security Team A
INC0379,13.29,57.89,Security Team B
INC0380,17.02,75.39,Security Team B
INC0381,9.21,13.67,Security Team A
INC0382,18.73,29.81,Security Team C
INC0383,1.91,78.79,Security Team A
INC0384,18.54,20.13,Security Team A
INC0385,15.19,80.14,Security Team C
INC0386,6.29,2.84,Security Team C
INC0387,10.5,66.46,Security Team C
INC0388,16.3,104.24,Security Team B
INC0389,23.5,112.11,Security Team B
INC0390,11.45,86.83,Security Team C
INC0391,21.86,111.7,Security Team C
INC0392,17.76,19.76,Security Team A
INC0393,21.99,94.11,Security Team C
INC0394,18.72,64.9,Security Team C
INC0395,12.39,112.0,Security Team A
INC0396,5.68,31.46,Security Team B
INC0397,16.94,11.67,Security Team C
INC0398,0.68,114.99,Security Team A
INC0399,17.7,58.76,Security Team B
INC0400,11.15,57.24,Security Team C
INC0401,10.56,70.34,Security Team C
INC0402,7.99,95.9,Security Team C
INC0403,18.88,103.94,Security Team B
INC0404,23.74,50.02,Security Team B
INC0405,22.84,113.99,Security Team A
INC0406,5.46,88.96,Security Team C
INC0407,21.1,52.36,Security Team A
INC0408,18.93,30.52,Security Team A
INC0409,21.44,105.71,Security Team B
INC0410,18.07,65.27,Security Team B
INC0411,18.59,34.9,Security Team C
INC0412,13.29,38.44,Security Team B
INC0413,23.29,72.4,Security Team A
INC0414,15.91,118.75,Security Team B
INC0415,14.0,111.79,Security Team C
INC0416,8.82,73.86,Security Team B
INC0417,5.28,7.63,Security Team C
INC0418,21.72,61.86,Security Team C
INC0419,3.03,36.29,Security Team C
INC0420,13.75,118.26,Security Team C
INC0421,6.12,84.53,Security Team A
INC0422,4.07,21.58,Security Team B
INC0423,17.68,83.65,Security Team A
INC0424,1.15,88.84,Security Team A
INC0425,13.03,33.39,Security Team A
INC0426,2.14,11.99,Security Team A
INC0427,16.36,44.94,Security Team A
INC0428,4.54,4.92,Security Team A
INC0429,21.49,40.92,Security Team A
INC0430,12.15,40.87,Security Team B
INC0431,14.96,105.11,Security Team A
INC0432,14.52,71.03,Security Team B
INC0433,13.88,73.87,Security Team C
INC0434,14.32,87.13,Security Team B
INC0435,7.59,55.75,Security Team C
INC0436,4.42,85.57,Security Team C
INC0437,2.16,62.14,Security Team A
INC0438,20.64,84.3,Security Team C
INC0439,14.08,61.07,Security Team B
INC0440,16.71,58.56,Security Team B
INC0441,8.3,118.75,Security Team B
INC0442,13.56,105.84,Security Team C
INC0443,12.53,34.54,Security Team A
INC0444,13.31,99.51,Security Team A
INC0445,6.14,61.55,Security Team A
INC0446,5.41,77.62,Security Team C
INC0447,15.24,51.8,Security Team A
INC0448,14.24,100.8,Security Team B
INC0449,12.94,1.78,Security Team B
INC0450,5.66,7.15,Security Team A
INC0451,16.36,27.0,Security Team C
INC0452,15.77,97.0,Security Team B
INC0453,6.74,30.17,Security Team A
INC0454,2.06,95.43,Security Team A
INC0455,10.8,108.21,Security Team B
INC0456,20.6,110.22,Security Team A
INC0457,18.07,76.97,Security Team A
INC0458,15.4,105.02,Security Team B
INC0459,9.57,77.19,Security Team C
INC0460,13.86,30.96,Security Team B
INC0461,23.4,15.43,Security Team C
INC0462,1.46,88.4,Security Team C
INC0463,5.54,50.38,Security Team C
INC0464,4.0,8.77,Security Team B
INC0465,6.78,33.97,Security Team B
INC0466,6.91,79.61,Security Team C
INC0467,10.84,99.97,Security Team B
INC0468,12.26,3.95,Security Team C
INC0469,13.83,48.56,Security Team B
INC0470,16.48,19.36,Security Team B
INC0471,3.39,92.41,Security Team B
INC0472,10.14,25.33,Security Team C
INC0473,6.67,22.44,Security Team A
INC0474,10.9,109.19,Security Team C
INC0475,2.29,67.28,Security Team C
INC0476,11.67,24.22,Security Team B
INC0477,21.88,52.78,Security Team C
INC0478,9.37,44.95,Security Team A
INC0479,0.89,22.22,Security Team A
INC0480,7.38,14.54,Security Team B
INC0481,3.54,79.68,Security Team B
INC0482,7.25,102.71,Security Team A
INC0483,2.2,45.81,Security Team B
INC0484,14.17,12.56,Security Team B
INC0485,10.46,28.79,Security Team A
INC0486,4.72,65.6,Security Team A
INC0487,4.79,99.49,Security Team A
INC0488,21.41,103.97,Security Team C
INC0489,9.52,38.05,Security Team A
INC0490,12.02,12.85,Security Team B
INC0491,7.73,81.57,Security Team A
INC0492,14.02,39.0,Security Team B
INC0493,10.65,43.12,Security Team A
INC0494,1.23,55.52,Security Team C
INC0495,16.38,49.44,Security Team A
INC0496,5.84,4.47,Security Team B
INC0497,1.21,111.34,Security Team A
INC0498,14.8,25.82,Security Team B
INC0499,9.91,94.45,Security Team C
INC0500,18.93,13.36,Security Team A
