Incident_ID,Date,Country,Attack_Type,Severity,Affected_Users,Downtime_Hours,Financial_Loss,Status
INC0048,2024-10-31,India,DDoS,Low,4396,44.29,4303.78,Resolved
INC0049,2023-09-19,Australia,Ransomware,Critical,1801,7.01,429184.18,Resolved
INC0050,2024-01-24,Australia,Phishing,Critical,4730,26.39,271258.92,Open
INC0051,2023-12-28,UK,Phishing,Medium,4066,27.52,7424.54,Open
INC0052,2024-11-23,Germany,Phishing,Medium,4669,39.59,9321.64,Resolved
INC0053,2024-02-22,Australia,Data Breach,Medium,4507,49.11,3140.06,Resolved
INC0054,2024-07-30,UK,Phishing,High,475,37.46,246102.72,Resolved
INC0055,2023-02-08,Canada,Phishing,Medium,2365,2.49,17424.15,Open
INC0056,2024-02-05,Australia,Data Breach,Critical,4531,9.81,237240.38,Open
INC0057,2023-07-25,Australia,DDoS,Medium,1738,42.13,13441.02,Open
INC0058,2024-08-14,Australia,DDoS,High,4723,13.42,371366.03,Resolved
INC0059,2023-03-31,Australia,DDoS,Critical,4637,43.76,50939.72,Resolved
INC0060,2024-02-06,USA,DDoS,Low,1872,53.06,8350.44,Open
INC0061,2023-09-07,India,Phishing,Low,1125,70.44,1700.28,Resolved
INC0062,2024-10-02,UK,Phishing,Low,4831,15.2,10836.4,Open
INC0063,2024-07-20,UK,Malware,High,1031,37.76,193633.78,Open
INC0064,2023-07-11,India,Data Breach,Low,2344,16.58,6602.96,Resolved
INC0065,2023-04-04,UK,Malware,Medium,3730,69.38,18514.25,Open
INC0066,2023-03-30,Canada,Malware,Medium,1206,37.34,18680.53,Open
INC0067,2024-06-23,USA,DDoS,Low,2612,67.98,15561.36,Resolved
INC0068,2024-05-03,Germany,Phishing,Medium,4916,69.86,1121.71,Resolved
INC0069,2024-04-24,Canada,DDoS,Medium,535,5.11,10251.38,Open
INC0070,2024-03-24,India,Ransomware,High,2150,48.82,91870.86,Resolved
INC0071,2023-10-17,USA,Malware,Medium,4334,35.93,10578.99,Open
INC0072,2024-10-13,USA,Data Breach,Low,1201,48.87,16743.49,Open
INC0073,2023-08-04,Germany,Malware,Critical,2902,19.09,459717.45,Open
INC0074,2024-10-20,India,Malware,Low,1430,7.31,2776.22,Open
INC0075,2023-01-03,Germany,Malware,Medium,3325,50.33,8582.32,Open
INC0076,2023-03-27,Australia,Malware,High,3062,39.67,433651.47,Resolved
INC0077,2023-08-26,Canada,Phishing,Low,3607,54.13,10890.54,Open
INC0078,2024-03-17,Germany,DDoS,Critical,3545,43.86,492339.75,Open
INC0079,2024-06-24,India,Data Breach,Low,212,70.02,637.24,Resolved
INC0080,2023-12-31,Australia,Phishing,High,805,2.21,87306.3,Open
INC0081,2023-07-05,Canada,Phishing,Medium,759,20.86,15364.71,Resolved
INC0082,2023-03-01,Australia,Ransomware,Low,1596,62.32,4570.51,Open
INC0083,2023-05-05,Australia,DDoS,Low,1166,13.65,4205.06,Resolved
INC0084,2023-04-22,USA,Phishing,Low,3394,10.18,16414.49,Open
INC0085,2024-08-09,USA,Phishing,High,772,2.96,5469.17,Resolved
INC0086,2024-03-24,Australia,Data Breach,Low,2537,20.45,10706.21,Open
INC0087,2023-03-11,Canada,DDoS,High,3404,58.76,94496.67,Open
INC0088,2023-01-07,India,Phishing,Low,2072,5.29,13655.89,Open
INC0089,2024-07-18,Germany,DDoS,High,849,65.81,179744.84,Open
INC0090,2023-07-04,USA,Ransomware,Low,1760,50.63,8499.01,Open
INC0091,2024-12-18,Australia,Ransomware,High,4642,22.79,30874.65,Open
INC0092,2023-04-01,Germany,Phishing,High,2377,63.76,170486.47,Open
INC0093,2024-06-20,Australia,Data Breach,High,2062,8.85,94395.64,Resolved
INC0094,2024-09-14,Australia,Data Breach,Low,3601,13.71,15789.02,Open
INC0095,2024-04-30,India,Phishing,Medium,4296,28.76,3634.55,Resolved
INC0096,2023-08-10,Germany,Phishing,Low,252,12.33,4443.4,Open
INC0097,2023-02-02,Australia,Data Breach,Low,525,67.07,1495.23,Open
INC0098,2023-01-11,Australia,Ransomware,Critical,3045,14.1,196334.53,Resolved
INC0099,2024-05-19,Germany,DDoS,High,600,22.71,440367.05,Open
INC0100,2023-09-02,USA,Data Breach,High,4317,60.53,85876.35,Open
INC0101,2023-04-02,UK,Data Breach,Low,1436,18.54,892.3,Open
INC0102,2024-09-16,USA,Phishing,Medium,3538,20.5,1396.1,Open
INC0103,2023-10-16,Australia,Ransomware,Medium,3029,32.41,10874.78,Open
INC0104,2023-02-09,Australia,DDoS,Low,1911,13.88,6398.54,Open
INC0105,2023-04-28,USA,Ransomware,Medium,4231,68.72,10088.65,Open
INC0106,2024-10-17,Germany,Ransomware,Critical,1032,6.74,154523.27,Open
INC0107,2024-08-21,Germany,Ransomware,Medium,2442,63.24,10236.14,Resolved
INC0108,2023-11-16,India,Ransomware,Medium,3068,63.24,12887.84,Open
INC0109,2023-04-29,Germany,Phishing,High,1665,29.03,334642.69,Open
INC0110,2024-10-14,India,DDoS,Low,4989,11.18,13682.21,Resolved
INC0111,2024-06-25,India,DDoS,Medium,1485,1.57,1232.24,Open
INC0112,2023-06-15,Australia,Malware,Medium,1367,65.97,14281.23,Resolved
INC0113,2023-02-27,India,Malware,High,1247,21.26,44393.79,Open
INC0114,2023-02-15,USA,Ransomware,Medium,2013,28.79,10707.73,Open
INC0115,2023-06-09,USA,Malware,Low,2573,50.17,2893.47,Open
INC0116,2024-03-04,India,Data Breach,Low,102,20.48,16001.73,Resolved
INC0117,2024-12-15,UK,Malware,Critical,2715,16.93,436860.0,Open
INC0118,2024-02-17,India,DDoS,Low,2538,38.71,19319.46,Resolved
INC0119,2023-05-17,USA,Data Breach,Low,2584,53.57,4605.53,Resolved
INC0120,2023-01-23,Germany,Malware,Low,663,24.0,7763.72,Resolved
INC0121,2023-12-10,Canada,Data Breach,Low,1187,30.92,10331.65,Resolved
INC0122,2024-05-02,Canada,Ransomware,Low,61,32.08,19384.25,Resolved
INC0123,2024-07-06,USA,Data Breach,High,2849,50.64,148430.34,Open
INC0124,2023-01-12,USA,Malware,Medium,759,37.92,5742.3,Resolved
INC0125,2024-09-10,USA,Ransomware,High,4079,23.13,94208.12,Open
INC0126,2023-09-08,UK,Data Breach,Low,73,36.47,14994.66,Open
INC0127,2023-09-30,India,Phishing,Low,103,69.22,4710.13,Resolved
INC0128,2024-02-07,Germany,Data Breach,Critical,323,34.75,22440.76,Open
INC0129,2024-04-15,USA,Data Breach,High,1302,62.89,341297.77,Resolved
INC0130,2024-05-17,Germany,Malware,Critical,2449,45.03,120570.07,Open
INC0131,2024-10-11,Australia,Malware,Low,2568,11.63,14488.7,Resolved
INC0132,2024-10-06,Australia,Phishing,Medium,208,65.54,2441.08,Resolved
INC0133,2023-07-26,Canada,Phishing,Critical,1891,52.32,489757.77,Resolved
INC0134,2023-05-06,Canada,Ransomware,Low,4943,11.44,7669.73,Open
INC0135,2023-11-22,Australia,Ransomware,Critical,4178,10.47,267164.55,Resolved
INC0136,2023-08-12,India,DDoS,High,2343,9.47,464660.03,Resolved
INC0137,2024-06-26,USA,Malware,High,647,14.11,159650.75,Resolved
INC0138,2024-08-16,Australia,Data Breach,Low,1312,35.8,7587.42,Resolved
INC0139,2023-06-12,Canada,Phishing,Medium,959,64.99,3485.02,Resolved
INC0140,2023-11-03,India,DDoS,Low,4806,13.86,19796.82,Open
INC0141,2024-07-18,India,DDoS,Medium,391,67.23,14294.05,Open
INC0142,2023-12-02,Australia,Malware,High,1832,30.73,280156.67,Resolved
INC0143,2024-06-28,UK,Phishing,Medium,4931,36.16,19753.47,Resolved
INC0144,2024-12-02,Germany,Phishing,High,2700,22.75,198044.91,Resolved
INC0145,2023-03-19,Australia,Ransomware,Medium,1364,41.06,15981.31,Resolved
INC0146,2023-08-20,Germany,Ransomware,High,4261,62.37,116139.29,Open
INC0147,2023-02-01,India,Malware,Medium,881,25.81,7974.99,Open
INC0148,2023-11-13,USA,Phishing,High,55,70.25,124544.68,Open
INC0149,2023-10-24,Germany,Phishing,Medium,607,10.47,6858.74,Resolved
INC0150,2024-10-18,Germany,Phishing,Medium,2162,58.21,11526.67,Resolved
INC0151,2024-03-03,UK,Malware,High,1948,33.86,416449.32,Resolved
INC0152,2024-05-09,Germany,DDoS,Critical,4765,70.71,319494.04,Open
INC0153,2023-11-13,Canada,DDoS,Critical,3859,17.99,480190.77,Resolved
INC0154,2023-04-06,USA,Ransomware,Low,1975,47.32,19692.66,Open
INC0155,2024-02-09,India,Phishing,Low,2957,59.62,10487.64,Open
INC0156,2024-05-09,India,Phishing,Low,1457,5.9,9727.56,Resolved
INC0157,2023-07-16,Australia,Ransomware,Critical,4060,70.08,433681.08,Resolved
INC0158,2024-11-19,Australia,Phishing,Low,683,71.09,9543.23,Resolved
INC0159,2024-09-08,Germany,DDoS,Low,3582,19.5,18279.0,Resolved
INC0160,2024-12-01,Germany,Ransomware,High,1301,25.67,272189.69,Resolved
INC0161,2024-08-03,USA,Malware,Low,3913,45.32,16490.28,Resolved
INC0162,2023-11-02,Germany,Malware,High,4006,18.61,491418.99,Resolved
INC0163,2024-05-11,Germany,Phishing,Low,3939,66.0,6495.84,Open
INC0164,2024-07-12,India,Ransomware,Medium,3461,14.19,8036.23,Resolved
INC0165,2023-01-20,USA,Data Breach,High,3786,24.25,434576.34,Open
INC0166,2023-03-18,UK,Malware,Low,3323,19.16,10183.88,Open
INC0167,2023-02-03,USA,Phishing,Low,2935,8.01,4966.88,Open
INC0168,2024-12-16,India,DDoS,Low,933,25.56,7502.99,Open
INC0169,2023-12-01,UK,Phishing,Medium,4295,25.39,15214.4,Open
INC0170,2024-01-10,Canada,Malware,High,1719,33.29,187239.34,Open
INC0171,2023-06-02,Canada,Data Breach,Critical,2999,39.53,346105.91,Open
INC0172,2024-03-18,UK,Malware,Medium,149,23.99,9301.11,Resolved
INC0173,2024-12-31,Australia,Malware,Low,841,48.37,11975.87,Resolved
INC0174,2024-04-25,USA,Malware,Medium,3430,4.79,1637.62,Resolved
INC0175,2024-01-03,India,Phishing,Low,40,23.94,3156.68,Open
INC0176,2023-05-04,Australia,DDoS,Medium,1556,33.3,8193.41,Open
INC0177,2023-08-19,Canada,Ransomware,High,78,62.72,425678.63,Open
INC0178,2023-05-13,UK,Ransomware,High,32,32.72,408403.78,Open
INC0179,2023-05-05,India,DDoS,Medium,1877,57.91,14614.89,Open
INC0180,2024-03-13,USA,Phishing,Low,770,39.53,9005.45,Resolved
INC0181,2023-02-12,Canada,Data Breach,Medium,4310,45.53,12609.89,Resolved
INC0182,2024-12-07,Canada,Phishing,Low,1320,56.22,6649.48,Open
INC0183,2024-05-06,Canada,Ransomware,High,883,32.8,157574.16,Open
INC0184,2023-01-26,India,Ransomware,Medium,1711,17.8,4384.52,Open
INC0185,2023-12-06,USA,Malware,Critical,1413,12.75,473386.38,Open
INC0186,2024-07-13,USA,Malware,Low,4677,46.34,6676.74,Resolved
INC0187,2024-08-14,USA,Ransomware,Medium,2113,39.53,16149.0,Resolved
INC0188,2024-11-14,UK,Phishing,Medium,1907,48.08,1134.66,Resolved
INC0189,2023-05-04,India,Malware,High,1304,54.19,189893.94,Open
INC0190,2023-04-08,India,Malware,Low,3996,63.48,19939.72,Open
INC0191,2024-02-18,Australia,DDoS,Low,2649,16.48,18404.67,Open
INC0192,2024-09-25,USA,DDoS,Medium,1848,49.19,15741.62,Open
INC0193,2023-06-16,Australia,Ransomware,Low,2100,40.47,10997.05,Resolved
INC0194,2024-02-28,UK,Phishing,Critical,3951,57.92,358097.91,Resolved
INC0195,2024-09-01,USA,Ransomware,High,2109,30.51,31865.39,Open
INC0196,2023-11-27,Canada,Data Breach,Low,4532,19.1,15240.62,Open
INC0197,2024-06-17,Canada,DDoS,Low,4545,69.16,3972.73,Resolved
INC0198,2024-11-29,Australia,DDoS,Medium,238,37.59,1715.15,Resolved
INC0199,2023-02-23,USA,Malware,Low,3071,30.37,5253.7,Resolved
INC0200,2023-07-16,Canada,Malware,Low,4440,50.09,18558.97,Open
INC0201,2024-09-22,Germany,Ransomware,High,3782,40.63,41846.07,Open
INC0202,2024-06-01,Australia,Ransomware,High,3113,67.84,124532.3,Open
INC0203,2023-07-18,Germany,Phishing,Low,1153,51.1,7812.72,Open
INC0204,2023-02-02,Germany,Ransomware,Medium,2766,63.91,10726.85,Open
INC0205,2023-06-19,Australia,Data Breach,High,4395,44.46,380836.69,Resolved
INC0206,2024-09-14,UK,DDoS,Critical,3117,10.14,278708.79,Resolved
INC0207,2024-05-24,UK,Malware,High,1498,63.56,478194.94,Resolved
INC0208,2023-12-15,Canada,DDoS,Low,3404,13.11,635.81,Resolved
INC0209,2023-03-29,Germany,DDoS,Critical,441,4.14,92403.96,Open
INC0210,2023-12-25,Canada,DDoS,Low,4703,43.07,2671.53,Resolved
INC0211,2024-03-16,Australia,Data Breach,High,3310,66.16,418778.0,Resolved
INC0212,2023-09-14,Germany,Phishing,Medium,1626,23.14,14185.63,Open
INC0213,2024-10-05,India,Ransomware,High,127,29.63,126359.59,Open
INC0214,2024-02-05,UK,Data Breach,Medium,478,20.88,1029.91,Open
INC0215,2024-07-14,Canada,Phishing,Low,3927,18.82,9573.3,Resolved
INC0216,2024-10-25,Australia,Phishing,Medium,2772,33.42,13709.5,Open
INC0217,2023-10-26,UK,Ransomware,High,704,22.83,106467.42,Open
INC0218,2023-10-01,Australia,Ransomware,High,2304,24.25,342171.25,Resolved
INC0219,2024-06-20,India,DDoS,Low,3292,41.04,7688.33,Resolved
INC0220,2024-04-22,Germany,Data Breach,Critical,3041,17.78,448866.52,Resolved
INC0221,2024-04-07,Canada,Phishing,Low,2817,48.35,15974.76,Open
INC0222,2023-06-18,India,DDoS,Low,1310,49.67,4459.2,Resolved
INC0223,2024-12-21,Australia,Data Breach,Critical,854,57.19,46917.22,Resolved
INC0224,2023-12-06,USA,Malware,High,3128,51.08,130506.44,Resolved
INC0225,2024-07-15,Canada,Phishing,Low,3462,44.17,13988.79,Resolved
INC0226,2023-05-05,Canada,Data Breach,Low,3168,7.45,9398.66,Open
INC0227,2023-11-18,UK,Phishing,Low,2629,67.83,12321.24,Open
INC0228,2023-05-10,UK,DDoS,High,2544,24.09,213113.14,Resolved
INC0229,2024-05-19,India,Data Breach,Medium,3351,1.0,16459.5,Open
INC0230,2024-01-29,USA,Phishing,Low,2008,15.14,2448.21,Resolved
INC0231,2023-06-15,USA,Data Breach,Medium,3496,1.39,5039.13,Open
INC0232,2023-08-23,UK,Malware,Critical,4314,19.26,173214.31,Resolved
INC0233,2023-01-30,USA,Data Breach,Critical,1601,36.04,70190.91,Open
INC0234,2023-04-12,UK,DDoS,High,4214,43.68,300334.79,Resolved
INC0235,2023-06-07,Germany,Malware,High,3288,17.25,163427.95,Open
INC0236,2024-03-09,India,Ransomware,Low,2722,39.79,15718.37,Open
INC0237,2023-04-14,India,Ransomware,Critical,1350,54.83,165510.27,Resolved
INC0238,2023-07-06,USA,Malware,Medium,405,45.3,5170.56,Open
INC0239,2024-08-16,Germany,Ransomware,Critical,4720,28.97,251527.81,Open
INC0240,2023-08-27,Australia,DDoS,High,1409,31.62,326600.66,Resolved
INC0241,2024-05-17,Australia,Phishing,Low,2045,54.54,19955.08,Resolved
INC0242,2024-09-25,Germany,Malware,Critical,1942,24.45,367786.23,Open
INC0243,2024-07-14,USA,Phishing,Low,3923,8.48,11693.73,Resolved
INC0244,2024-05-10,UK,Malware,Medium,569,9.32,5222.85,Open
INC0245,2024-11-28,USA,DDoS,Low,2439,65.62,3434.3,Resolved
INC0246,2024-11-03,USA,Data Breach,Medium,1390,4.5,13270.35,Open
INC0247,2024-08-30,Australia,Ransomware,Medium,2971,11.83,14179.92,Open
INC0248,2024-09-06,Germany,Ransomware,Low,956,17.97,13735.18,Resolved
INC0249,2024-10-03,Germany,Malware,Critical,257,12.87,36955.32,Resolved
INC0250,2024-01-23,Canada,Malware,Low,1204,42.08,10509.92,Resolved
INC0251,2024-05-16,Germany,DDoS,High,2750,28.52,278581.84,Open
INC0252,2023-04-16,Canada,Phishing,Medium,1925,28.12,19400.55,Resolved
INC0253,2023-10-08,Germany,Ransomware,Medium,2612,5.68,10625.29,Resolved
INC0254,2023-12-05,Germany,Data Breach,High,4523,43.71,249502.64,Open
INC0255,2023-07-08,Australia,Phishing,High,227,11.66,266710.65,Resolved
INC0256,2023-08-25,USA,DDoS,Low,2880,61.34,16176.17,Open
INC0257,2024-12-12,UK,Malware,Medium,4578,34.52,2903.8,Resolved
INC0258,2024-02-11,Canada,Malware,Medium,4674,16.68,2751.3,Open
INC0259,2024-05-29,USA,Malware,High,4312,41.59,352947.04,Open
INC0260,2023-03-07,USA,Malware,High,876,32.76,39123.15,Open
INC0261,2023-11-18,Australia,Data Breach,Critical,3247,22.13,170980.65,Open
INC0262,2023-05-30,India,DDoS,Medium,1193,49.44,16251.11,Resolved
INC0263,2023-08-19,Germany,Ransomware,High,4272,19.43,28227.47,Resolved
INC0264,2023-02-07,Australia,Malware,Medium,3396,25.21,17784.92,Resolved
INC0265,2023-08-07,Germany,DDoS,Low,1816,67.01,19671.85,Open
INC0266,2023-09-18,Canada,Phishing,Medium,1745,58.29,14722.41,Open
INC0267,2024-04-20,India,Phishing,Medium,741,45.69,16081.64,Open
INC0268,2023-06-14,Australia,Ransomware,Low,2318,28.47,14009.55,Open
INC0269,2023-04-02,Australia,Ransomware,Critical,1891,22.94,417749.95,Resolved
INC0270,2023-11-14,UK,Ransomware,Low,2558,41.97,2749.89,Open
INC0271,2023-08-31,Canada,Data Breach,Medium,1532,39.32,13607.06,Open
INC0272,2024-01-17,UK,Ransomware,Critical,2722,2.58,491023.58,Resolved
INC0273,2023-08-14,Canada,DDoS,High,313,64.45,148012.06,Resolved
INC0274,2024-04-02,Canada,Data Breach,High,3580,57.21,111975.05,Open
INC0275,2023-03-26,Australia,Data Breach,Low,399,49.8,8202.03,Resolved
INC0276,2024-11-05,Australia,Malware,High,1435,46.29,397959.24,Resolved
INC0277,2024-09-29,India,DDoS,Medium,2647,54.47,9298.07,Open
INC0278,2023-08-23,Germany,Phishing,Medium,2675,41.24,2519.44,Open
INC0279,2023-05-17,Australia,Malware,Medium,3819,67.49,5457.95,Resolved
INC0280,2023-02-20,Canada,Phishing,Critical,1814,53.09,318326.23,Open
INC0281,2024-09-12,USA,Malware,High,1912,33.36,30474.86,Resolved
INC0282,2023-06-24,Canada,Malware,Medium,3788,67.65,1234.64,Open
INC0283,2023-11-04,Australia,Phishing,Critical,321,9.26,23240.2,Open
INC0284,2023-10-19,Canada,Malware,Low,4331,15.9,11692.51,Open
INC0285,2024-03-07,India,Malware,High,1983,57.72,451550.67,Resolved
INC0286,2024-11-19,India,Phishing,High,1478,55.48,288339.86,Open
INC0287,2023-07-18,UK,Phishing,Critical,2024,18.83,491708.07,Open
INC0288,2024-10-28,UK,Phishing,Low,1920,54.09,11796.23,Open
INC0289,2023-04-06,Canada,Ransomware,Low,3447,9.47,13227.43,Resolved
INC0290,2023-10-22,Canada,DDoS,Medium,924,70.89,17448.18,Resolved
INC0291,2024-03-28,UK,Data Breach,Low,3733,39.84,12857.67,Open
INC0292,2023-10-19,India,Data Breach,Low,2937,47.02,4871.7,Resolved
INC0293,2023-07-02,Canada,Phishing,Critical,2295,46.52,435866.82,Open
INC0294,2024-08-22,Germany,Data Breach,High,4158,70.13,115220.87,Open
INC0295,2023-07-07,Germany,Data Breach,Critical,1151,14.63,240133.53,Resolved
INC0296,2023-05-08,UK,Ransomware,Low,542,49.57,17107.4,Resolved
INC0297,2023-12-20,Australia,DDoS,Low,2801,70.54,2786.52,Resolved
INC0298,2024-03-09,Germany,Phishing,High,4157,7.61,161291.62,Open
INC0299,2023-11-24,USA,Phishing,Medium,482,52.44,19081.62,Resolved
INC0300,2024-02-07,India,Phishing,Medium,493,66.51,17904.44,Resolved
INC0301,2024-11-06,Germany,Phishing,Low,1207,61.42,17496.61,Open
INC0302,2024-08-23,Germany,Malware,Medium,2995,44.61,18487.97,Resolved
INC0303,2023-09-25,USA,Malware,Low,1448,54.71,18041.65,Open
INC0304,2024-08-23,Australia,Malware,High,1457,40.23,166770.26,Resolved
INC0305,2023-02-12,Germany,Data Breach,High,303,27.44,385584.3,Resolved
INC0306,2023-05-27,Australia,DDoS,High,1603,5.3,29147.57,Resolved
INC0307,2023-04-13,Canada,Ransomware,Medium,2939,18.45,13562.46,Open
INC0308,2023-06-03,USA,Malware,Medium,4179,28.91,1062.09,Open
INC0309,2023-07-03,Australia,Data Breach,High,1196,58.33,281303.49,Resolved
INC0310,2024-12-13,Australia,Malware,Medium,946,46.0,7078.3,Resolved
INC0311,2023-12-26,USA,Data Breach,Critical,300,70.52,418002.37,Open
INC0312,2024-12-06,India,DDoS,Critical,2462,23.96,424872.85,Resolved
INC0313,2023-06-02,USA,DDoS,Low,808,55.79,16063.89,Open
INC0314,2024-02-27,Australia,DDoS,Low,3598,32.67,18895.12,Open
INC0315,2023-07-22,Germany,Phishing,Low,4121,61.08,14340.8,Open
INC0316,2023-04-08,Germany,Malware,Medium,3426,10.33,3126.02,Resolved
INC0317,2024-02-12,Australia,Ransomware,Low,2355,58.23,16964.46,Open
INC0318,2024-11-16,Germany,Ransomware,Medium,2991,59.26,13900.59,Resolved
INC0319,2023-07-01,Canada,Malware,Low,3434,58.11,19968.4,Resolved
INC0320,2023-01-31,Canada,Ransomware,Medium,2295,40.14,3899.9,Open
INC0321,2024-01-07,India,Data Breach,Medium,4340,27.5,7829.28,Open
INC0322,2024-12-24,USA,Phishing,Medium,3507,61.28,11090.53,Open
INC0323,2024-01-24,India,Malware,Medium,511,24.69,7430.24,Resolved
INC0324,2023-03-07,USA,DDoS,High,3351,53.93,67086.4,Resolved
INC0325,2023-10-26,India,Phishing,Critical,2660,65.52,333546.38,Resolved
INC0326,2024-01-17,UK,Malware,Medium,118,43.63,5984.29,Resolved
INC0327,2023-01-23,Australia,Ransomware,High,4335,25.29,430070.9,Open
INC0328,2023-11-05,Canada,DDoS,Low,3416,44.23,11316.12,Open
INC0329,2023-04-10,Canada,DDoS,High,2960,9.06,50641.38,Resolved
INC0330,2024-08-21,Australia,Data Breach,Medium,1581,47.54,7773.34,Open
INC0331,2024-04-13,UK,Ransomware,Low,1922,19.93,10191.31,Resolved
INC0332,2023-04-14,USA,DDoS,Critical,4896,19.15,44320.24,Resolved
INC0333,2023-12-31,Germany,Data Breach,High,778,56.63,426849.9,Open
INC0334,2023-12-31,UK,Ransomware,Low,3988,22.53,11626.6,Resolved
INC0335,2023-11-23,Australia,DDoS,Critical,4714,3.66,353008.92,Resolved
INC0336,2023-07-09,Australia,Ransomware,Medium,409,39.59,5907.79,Resolved
INC0337,2024-03-05,Canada,DDoS,Medium,3800,33.44,12667.79,Resolved
INC0338,2023-10-04,Canada,Phishing,Medium,3710,70.47,13236.34,Open
INC0339,2024-09-01,Australia,DDoS,Critical,3819,5.09,299202.82,Open
INC0340,2024-01-25,Germany,Malware,High,3463,7.01,258918.12,Resolved
INC0341,2024-01-08,Germany,Data Breach,Medium,3330,69.11,15467.81,Resolved
INC0342,2024-08-07,India,Ransomware,High,4636,59.16,32815.03,Open
INC0343,2024-04-23,Australia,Malware,Medium,450,53.23,12079.03,Open
INC0344,2024-06-16,UK,Ransomware,Medium,538,53.79,12771.99,Open
INC0345,2024-05-26,Canada,Data Breach,High,3774,14.85,300104.36,Resolved
INC0346,2024-08-17,India,Malware,High,329,12.98,318226.44,Resolved
INC0347,2023-03-20,UK,Malware,Medium,3431,27.12,18042.77,Open
INC0348,2023-04-03,Canada,Malware,Critical,610,13.89,311900.66,Open
INC0349,2024-09-12,Canada,Malware,High,3622,11.44,73884.59,Resolved
INC0350,2024-07-02,Germany,Ransomware,Low,3904,44.16,11286.05,Resolved
INC0351,2023-08-24,Germany,Data Breach,Low,1563,58.1,14039.46,Open
INC0352,2023-04-11,Germany,Data Breach,Medium,1159,38.01,11053.86,Open
